Feature,Importance
pump_on,0.0
is_hot_sun,0.0
delta_soil,0.005687445434686366
plant_age_days,0.012346191904627567
solar_radiation_wm2,0.013015561067196542
is_evening,0.017105083906503702
ET0_mm_day,0.017147830618719676
humidity_sensor_pct,0.023484879269063643
wind_speed_ms,0.027205308584914465
hours_to_dry,0.03091886158524944
temp_sensor_c,0.031714902576838656
vpd_kPa,0.032453733129858504
is_morning,0.03813194898643874
hour,0.061169853879639316
soil_r6h,0.0635168276307628
soil_pred_6h,0.06799250691131671
soil_r3h,0.06855915824220263
Ks,0.07296601994493754
soil_deficit,0.09462427118914048
soil_clean,0.10521339615547197
soil_future_pred,0.105584174964175
is_good_hour,0.11116204401825625
