epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.083,1.48951,1.95864,1.67127,0.5108,0.52039,0.44168,0.21391,1.91528,2.2642,2.40676,0.000665411,0.000665411,0.000665411
2,76.7784,1.52542,1.66922,1.69435,0.47244,0.55401,0.44351,0.2051,1.8417,1.94294,2.20087,0.00131889,0.00131889,0.00131889
3,111.53,1.51259,1.58179,1.68648,0.60748,0.56257,0.59295,0.29161,1.80916,1.65526,2.10456,0.00195917,0.00195917,0.00195917
4,144.121,1.4991,1.51737,1.68658,0.46332,0.58717,0.45672,0.21714,2.02024,1.77185,2.65629,0.0019406,0.0019406,0.0019406
5,177.498,1.47794,1.47057,1.66323,0.53978,0.57326,0.50124,0.25057,1.9386,1.73015,2.44704,0.0019208,0.0019208,0.0019208
6,212.19,1.41708,1.37283,1.61546,0.61264,0.55722,0.58713,0.29704,1.62448,1.52378,1.96606,0.001901,0.001901,0.001901
7,242.496,1.392,1.36306,1.60608,0.60132,0.62995,0.59824,0.29798,1.71958,1.51127,1.99064,0.0018812,0.0018812,0.0018812
8,272,1.34975,1.29615,1.57211,0.63299,0.62888,0.61761,0.31775,1.72281,1.46646,2.03425,0.0018614,0.0018614,0.0018614
9,302.998,1.34687,1.27907,1.57441,0.58208,0.59436,0.57535,0.30395,1.77035,1.53926,2.10262,0.0018416,0.0018416,0.0018416
10,332.91,1.32223,1.26025,1.54928,0.56951,0.6452,0.60723,0.32022,1.77995,1.43964,2.1201,0.0018218,0.0018218,0.0018218
11,362.615,1.29173,1.24248,1.54131,0.61384,0.67594,0.65252,0.34662,1.66732,1.37319,1.96027,0.001802,0.001802,0.001802
12,392.318,1.28408,1.19075,1.53196,0.64216,0.64385,0.65349,0.3504,1.5939,1.38685,1.95675,0.0017822,0.0017822,0.0017822
13,422.116,1.26071,1.17712,1.50721,0.64888,0.63643,0.66374,0.36282,1.58338,1.3515,1.8947,0.0017624,0.0017624,0.0017624
14,451.773,1.24777,1.15556,1.48607,0.67396,0.67701,0.70237,0.39312,1.47118,1.19738,1.77315,0.0017426,0.0017426,0.0017426
15,481.657,1.2345,1.14261,1.49339,0.65246,0.71337,0.71196,0.38302,1.56988,1.27339,1.81854,0.0017228,0.0017228,0.0017228
16,511.24,1.20871,1.11238,1.47749,0.62306,0.69412,0.67234,0.38529,1.44542,1.24346,1.77221,0.001703,0.001703,0.001703
17,540.966,1.20611,1.10719,1.47332,0.61715,0.75187,0.70513,0.39394,1.51662,1.22781,1.89064,0.0016832,0.0016832,0.0016832
18,570.734,1.18829,1.08871,1.45429,0.63231,0.64599,0.65437,0.37062,1.47643,1.28439,1.81075,0.0016634,0.0016634,0.0016634
19,600.899,1.17495,1.06299,1.45132,0.60677,0.71955,0.68308,0.38622,1.47892,1.2351,1.85676,0.0016436,0.0016436,0.0016436
20,630.391,1.17889,1.06334,1.44677,0.65065,0.69091,0.69774,0.40059,1.48504,1.23144,1.8423,0.0016238,0.0016238,0.0016238
21,660.491,1.16113,1.04034,1.44091,0.60512,0.68449,0.63881,0.33946,1.51945,1.29274,1.8595,0.001604,0.001604,0.001604
22,690.08,1.14648,1.03865,1.43281,0.66695,0.64064,0.68991,0.39994,1.45547,1.22587,1.77667,0.0015842,0.0015842,0.0015842
23,720.432,1.13835,1.00438,1.42071,0.61244,0.64223,0.64615,0.36455,1.50878,1.38125,1.8273,0.0015644,0.0015644,0.0015644
24,756.902,1.12136,1.00006,1.41807,0.67291,0.68235,0.68956,0.37708,1.48215,1.22748,1.78645,0.0015446,0.0015446,0.0015446
25,790.947,1.11518,0.99309,1.41276,0.67845,0.73792,0.7198,0.42033,1.44573,1.12524,1.7906,0.0015248,0.0015248,0.0015248
26,825.384,1.11333,0.985,1.39488,0.67444,0.64813,0.69516,0.40259,1.45903,1.1456,1.77661,0.001505,0.001505,0.001505
27,860.213,1.10431,0.97701,1.40098,0.62093,0.66524,0.65671,0.36368,1.51461,1.31504,1.83381,0.0014852,0.0014852,0.0014852
28,895.048,1.08691,0.96575,1.38532,0.68016,0.65134,0.67538,0.36753,1.6101,1.31815,1.92971,0.0014654,0.0014654,0.0014654
29,930.618,1.0939,0.95615,1.38551,0.60397,0.69321,0.65517,0.36518,1.52723,1.38132,1.82259,0.0014456,0.0014456,0.0014456
30,964.787,1.07028,0.94268,1.36986,0.61336,0.74973,0.69075,0.38962,1.50234,1.20765,1.79396,0.0014258,0.0014258,0.0014258
31,999.042,1.08545,0.9558,1.37961,0.62799,0.6107,0.62233,0.34805,1.49274,1.43604,1.81008,0.001406,0.001406,0.001406
32,1033.83,1.09352,0.92765,1.38559,0.61282,0.68021,0.67409,0.36147,1.56607,1.32086,1.88145,0.0013862,0.0013862,0.0013862
33,1070.25,1.05906,0.93095,1.36018,0.63875,0.68458,0.68739,0.39479,1.43366,1.26744,1.76327,0.0013664,0.0013664,0.0013664
34,1107.19,1.05778,0.92562,1.36488,0.65251,0.65134,0.68248,0.40012,1.37933,1.19054,1.72148,0.0013466,0.0013466,0.0013466
35,1140.23,1.04217,0.91467,1.35069,0.656,0.71995,0.70695,0.41978,1.39267,1.13608,1.68982,0.0013268,0.0013268,0.0013268
36,1177.09,1.03374,0.8974,1.35353,0.66495,0.72834,0.72158,0.42674,1.39367,1.14102,1.75493,0.001307,0.001307,0.001307
37,1214.62,1.03936,0.88831,1.34521,0.69277,0.6439,0.70809,0.41563,1.40243,1.21823,1.7172,0.0012872,0.0012872,0.0012872
38,1251.6,1.02499,0.90187,1.34779,0.70573,0.63957,0.68385,0.38101,1.55323,1.29283,1.83839,0.0012674,0.0012674,0.0012674
39,1288.74,1.02303,0.87996,1.34064,0.6583,0.74382,0.72108,0.43537,1.40907,1.09751,1.74246,0.0012476,0.0012476,0.0012476
40,1325.51,1.00537,0.86901,1.32688,0.68494,0.69754,0.72606,0.42933,1.39128,1.09019,1.73832,0.0012278,0.0012278,0.0012278
41,1361.86,1.00513,0.87052,1.33319,0.64014,0.6984,0.69944,0.4152,1.36505,1.12118,1.71668,0.001208,0.001208,0.001208
42,1398.26,0.99247,0.85617,1.31818,0.63813,0.68235,0.67151,0.37827,1.49792,1.23826,1.84121,0.0011882,0.0011882,0.0011882
43,1435.01,0.99023,0.85218,1.31608,0.69764,0.66952,0.69898,0.41306,1.37799,1.15025,1.74732,0.0011684,0.0011684,0.0011684
44,1470.75,0.97609,0.84952,1.31868,0.67503,0.63102,0.66952,0.37513,1.50463,1.29459,1.82195,0.0011486,0.0011486,0.0011486
45,1506.45,0.99836,0.83843,1.32377,0.69825,0.65561,0.70529,0.41695,1.38209,1.18707,1.72482,0.0011288,0.0011288,0.0011288
46,1545.9,0.97881,0.83538,1.30297,0.65401,0.71765,0.7192,0.42966,1.36317,1.10294,1.70968,0.001109,0.001109,0.001109
47,1582.3,0.96824,0.82698,1.30706,0.65572,0.6492,0.6901,0.39596,1.41961,1.26774,1.75351,0.0010892,0.0010892,0.0010892
48,1618.63,0.95435,0.82431,1.30026,0.69985,0.67594,0.71308,0.40566,1.4231,1.27238,1.75139,0.0010694,0.0010694,0.0010694
49,1652.96,0.949,0.80147,1.28007,0.63497,0.68342,0.68019,0.39127,1.41739,1.16243,1.77139,0.0010496,0.0010496,0.0010496
50,1687.87,0.95224,0.80918,1.30206,0.6868,0.71658,0.74663,0.42752,1.45254,1.14844,1.75487,0.0010298,0.0010298,0.0010298
51,1724.95,0.94779,0.8027,1.28758,0.6966,0.64706,0.69121,0.39517,1.48125,1.23253,1.82763,0.00101,0.00101,0.00101
52,1759.16,0.94282,0.80784,1.29915,0.67594,0.67594,0.69888,0.41369,1.37044,1.1641,1.71416,0.0009902,0.0009902,0.0009902
53,1796.26,0.93006,0.79269,1.27836,0.6939,0.61604,0.68919,0.4016,1.42854,1.2951,1.76938,0.0009704,0.0009704,0.0009704
54,1832.01,0.92815,0.79894,1.27467,0.63935,0.67166,0.69582,0.40134,1.42701,1.17473,1.75696,0.0009506,0.0009506,0.0009506
55,1869.32,0.93018,0.78318,1.27587,0.66446,0.69733,0.71084,0.41526,1.45419,1.19924,1.79386,0.0009308,0.0009308,0.0009308
56,1904.58,0.92877,0.77553,1.27386,0.67267,0.67035,0.70079,0.41008,1.41412,1.23986,1.74202,0.000911,0.000911,0.000911
57,1940.81,0.92201,0.77172,1.27361,0.70896,0.65775,0.71932,0.42852,1.35127,1.14014,1.71628,0.0008912,0.0008912,0.0008912
58,1976.84,0.91174,0.76624,1.26341,0.68003,0.72834,0.73778,0.43671,1.39179,1.15951,1.75499,0.0008714,0.0008714,0.0008714
59,2012.84,0.91353,0.76682,1.26202,0.68166,0.68877,0.71057,0.42091,1.41445,1.16309,1.73803,0.0008516,0.0008516,0.0008516
60,2048.2,0.89182,0.73982,1.25197,0.64466,0.67136,0.68171,0.39442,1.49339,1.29142,1.8356,0.0008318,0.0008318,0.0008318
61,2084.26,0.90934,0.76682,1.2621,0.71064,0.68029,0.7259,0.42755,1.40252,1.12853,1.73925,0.000812,0.000812,0.000812
62,2119.36,0.88955,0.76737,1.2541,0.68785,0.65241,0.72088,0.42268,1.45015,1.20401,1.80517,0.0007922,0.0007922,0.0007922
63,2155.56,0.89065,0.74631,1.24774,0.67249,0.65882,0.69216,0.40968,1.40249,1.25556,1.7469,0.0007724,0.0007724,0.0007724
64,2190.96,0.89939,0.74075,1.24781,0.6474,0.70302,0.70817,0.39539,1.49001,1.20105,1.84194,0.0007526,0.0007526,0.0007526
65,2226.62,0.88093,0.73734,1.24042,0.65344,0.6984,0.72014,0.42889,1.39743,1.15064,1.74498,0.0007328,0.0007328,0.0007328
66,2262.34,0.87509,0.72995,1.23748,0.68445,0.68205,0.70533,0.41024,1.3793,1.13905,1.77282,0.000713,0.000713,0.000713
67,2297.13,0.87273,0.73394,1.23124,0.66851,0.71016,0.72355,0.4365,1.37011,1.14862,1.70359,0.0006932,0.0006932,0.0006932
68,2332.69,0.87355,0.72365,1.23675,0.69521,0.67332,0.70284,0.41385,1.4393,1.27407,1.76638,0.0006734,0.0006734,0.0006734
69,2367.94,0.86726,0.73181,1.2439,0.70018,0.67273,0.73202,0.44517,1.38161,1.17421,1.7175,0.0006536,0.0006536,0.0006536
70,2401.04,0.8653,0.71865,1.22906,0.68932,0.66417,0.71724,0.4217,1.41441,1.21808,1.74487,0.0006338,0.0006338,0.0006338
71,2437.31,0.85419,0.69326,1.22291,0.6886,0.71189,0.70494,0.42489,1.40041,1.1673,1.75328,0.000614,0.000614,0.000614
72,2473.74,0.85372,0.70532,1.22202,0.70314,0.71438,0.74381,0.43937,1.40773,1.10287,1.75484,0.0005942,0.0005942,0.0005942
73,2506.84,0.83624,0.69967,1.21522,0.68299,0.71432,0.71915,0.42357,1.46475,1.19415,1.82178,0.0005744,0.0005744,0.0005744
74,2544.69,0.8418,0.69601,1.21752,0.65248,0.71979,0.70702,0.42605,1.4445,1.15477,1.82755,0.0005546,0.0005546,0.0005546
75,2580.47,0.82849,0.68663,1.20886,0.68504,0.67701,0.7128,0.41894,1.4308,1.18533,1.7959,0.0005348,0.0005348,0.0005348
76,2614.34,0.82869,0.69189,1.21499,0.70033,0.65882,0.71077,0.42752,1.38472,1.17075,1.73205,0.000515,0.000515,0.000515
77,2648.47,0.82508,0.68217,1.20936,0.68035,0.66927,0.69882,0.4109,1.45897,1.26502,1.83723,0.0004952,0.0004952,0.0004952
78,2682.62,0.8151,0.67573,1.19349,0.66611,0.65989,0.68361,0.40543,1.43896,1.25448,1.79608,0.0004754,0.0004754,0.0004754
79,2717.05,0.81126,0.65893,1.18811,0.67459,0.67914,0.71081,0.41968,1.48085,1.21295,1.84407,0.0004556,0.0004556,0.0004556
80,2752.51,0.82762,0.67516,1.21043,0.69689,0.66637,0.71068,0.43057,1.40783,1.20155,1.76853,0.0004358,0.0004358,0.0004358
81,2786.24,0.80613,0.66697,1.19332,0.66833,0.65241,0.68868,0.41335,1.4869,1.29243,1.86259,0.000416,0.000416,0.000416
82,2820.15,0.80522,0.65619,1.18623,0.70607,0.6492,0.70893,0.42705,1.45372,1.22939,1.8432,0.0003962,0.0003962,0.0003962
83,2855.59,0.79105,0.64037,1.17987,0.68471,0.65668,0.70293,0.42642,1.37615,1.19933,1.73977,0.0003764,0.0003764,0.0003764
84,2890.57,0.79693,0.64848,1.18091,0.67591,0.67701,0.71655,0.43062,1.42124,1.21006,1.7782,0.0003566,0.0003566,0.0003566
85,2925.37,0.7994,0.65211,1.18241,0.67998,0.6772,0.71675,0.42497,1.43503,1.20433,1.7859,0.0003368,0.0003368,0.0003368
86,2959.75,0.77527,0.62719,1.16405,0.73717,0.62096,0.69966,0.41722,1.45834,1.30765,1.82995,0.000317,0.000317,0.000317
87,2994.41,0.78062,0.63959,1.17202,0.70187,0.64385,0.70566,0.42401,1.45853,1.26161,1.85625,0.0002972,0.0002972,0.0002972
88,3028.11,0.7795,0.63175,1.17049,0.69646,0.6233,0.69418,0.41315,1.42325,1.27699,1.77124,0.0002774,0.0002774,0.0002774
89,3062.78,0.77662,0.61792,1.17113,0.69212,0.6385,0.70102,0.4183,1.48321,1.32189,1.88724,0.0002576,0.0002576,0.0002576
